doe_id,Material_ID,Blechdicke,Niederhalterkraft,Ziehspalt,Stempel_ID,Einlegeposition,Ziehtiefe,Breite,UG,OG,E,Material_Name,Rp0,Rp0.2,Rp100,Rp25,Rp50
1,3,1.01,410,2.4,3,-5,30,70.2,1.71,2.0,191.37245,DC04_1.00mm,138.22696000000002,147.60185940000005,534.002871,377.443009,449.52818899999994
2,5,1.48,400,2.4,3,-4,50,70.2,1.71,2.0,71.68198000000001,AA5083_1.50mm,235.16032599999997,237.95149300000003,384.123147,369.8205895,383.04183400000005
3,1,1.0,210,2.4,3,-1,70,70.2,1.71,2.0,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
4,2,1.19,390,2.4,3,5,30,70.2,1.71,2.0,200.03813,DC01_1.20mm,160.714935,174.535075,564.455438,424.931018,490.44222300000007
5,1,1.0,360,1.6,2,3,30,71.8,1.14,1.33,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
6,4,0.99,460,1.6,2,-2,50,71.8,1.14,1.33,71.94184,AA5083_1.00mm,248.796491,251.31590240000003,385.3733160000001,371.7743365,384.299873
7,4,0.99,500,2.4,3,-3,30,70.2,1.71,2.0,71.94184,AA5083_1.00mm,248.796491,251.31590240000003,385.3733160000001,371.7743365,384.299873
8,4,0.99,200,2.4,3,2,70,70.2,1.71,2.0,71.94184,AA5083_1.00mm,248.796491,251.31590240000003,385.3733160000001,371.7743365,384.299873
9,6,1.01,330,1.6,2,0,30,71.8,1.14,1.33,198.984,HC340LA_1.20mm,296.5565,306.21148000000005,711.7006,556.00685,629.5304000000001
10,6,1.01,240,1.6,2,1,70,71.8,1.14,1.33,198.984,HC340LA_1.20mm,296.5565,306.21148000000005,711.7006,556.00685,629.5304000000001
11,4,0.99,10,2.4,3,-5,30,70.2,1.71,2.0,71.94184,AA5083_1.00mm,248.796491,251.31590240000003,385.3733160000001,371.7743365,384.299873
12,1,1.0,180,2.4,3,4,50,70.2,1.71,2.0,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
13,3,1.01,20,1.6,2,-1,50,71.8,1.14,1.33,191.37245,DC04_1.00mm,138.22696000000002,147.60185940000005,534.002871,377.443009,449.52818899999994
14,1,1.0,290,2.4,3,0,30,70.2,1.71,2.0,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
15,2,1.19,250,2.4,3,3,30,70.2,1.71,2.0,200.03813,DC01_1.20mm,160.714935,174.535075,564.455438,424.931018,490.44222300000007
16,2,1.19,220,2.4,3,5,70,70.2,1.71,2.0,200.03813,DC01_1.20mm,160.714935,174.535075,564.455438,424.931018,490.44222300000007
17,1,1.0,230,1.6,2,1,30,71.8,1.14,1.33,164.62254,DC01_1.00mm,133.18263199999998,147.10126340000002,517.275855,385.7734395,447.384736
